x	y	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
513525	558615	1769	2002	2356	2609.75	2787.5	2975.875	3050	3295.1875	4703.875	4083.0625	cultivos
513765	557935	1616	1770	2094	2391.0625	2603.875	2833.875	2922	3234.625	4940.9375	4062.625	cultivos
517465	561535	1606	1885	2034	2633.875	3193.3125	3472.4375	3526	3852	4556.5	3175.1875	cultivos
513475	557795	1828	2056	2516	2843.875	3024.125	3187.1875	3288	3562.75	4739.8125	4033	cultivos
514455	559425	1521	1655	1884	2099.4375	2256.4375	2448.125	2569	2771.625	4522.875	4080.5625	cultivos
512635	558745	1766	2026	2456	2841.5	3222.0625	3435.5625	3281	3770.9375	4766.25	3899.5625	cultivos
512735	558275	1762	2010	2404	2664.0625	2875.1875	3059.6875	3230	3378.125	4642	3875.4375	cultivos
513975	559055	1948	2112	2244	2714.75	3343.625	3599.8125	3711	3998.4375	4194.75	3068	cultivos
513635	559845	1626	1828	2066	2531.1875	2956.875	3219.0625	3297	3567.3125	4792.5625	3774.5	cultivos
513535	559305	1612	1814	2072	2450.6875	2813.625	3071.9375	3276	3534	4979.1875	3923.8125	cultivos
513805	557595	1660	1864	2208	2553	2851.3125	3116.0625	3328	3647.375	5036.9375	4036.875	cultivos
514245	558715	1725	1924	2230	2446.75	2621.1875	2797.375	2936	3136.0625	4910.0625	4269	cultivos
517645	561845	1692	1894	2116	2656.125	3101.75	3362.625	3354	3716.25	4625.625	3366.0625	cultivos
512515	559355	1770	2068	2438	2932.3125	3373.6875	3648.9375	3972	4082.625	4748.1875	3662.375	cultivos
517785	561945	1594	1876	2058	2622.5	3145.4375	3398.125	3491	3835.3125	4272.625	2974.9375	cultivos
514485	559175	1718	1892	2230	2613.125	2874.3125	3156	3358	3679.8125	5350.8125	4211.8125	cultivos
513855	558005	1618	1767	2106	2326.125	2482.3125	2707.5	2970	3107.8125	4758.25	4047.0625	cultivos
514415	559155	1718	1861	2172	2503.1875	2790.9375	3014.375	3189	3504.375	5188.75	4180.6875	cultivos
513815	557775	1588	1736	2001	2275.0625	2512.25	2717.4375	2898	3126.8125	4744.5625	4024.625	cultivos
514595	559305	1572	1680	1950	2150.8125	2302.9375	2513.9375	2651	2872.875	4643.3125	4280.5625	cultivos
513625	558025	1679	1882	2224	2569.6875	2712	2900.125	2906	3243.4375	4674.5	4093.0625	cultivos
513935	558845	1667	2032	2112	2750.125	3941.8125	4279.5	4440	4647.3125	4548.375	3256.5	cultivos
515805	557885	1650	1918	2164	2639	3298.5	3606.625	3688	3993.5625	4786.8125	3486.8125	cultivos
513165	558245	1774	2002	2386	2636.5	2777.25	2964.8125	3099	3317.375	4580.9375	4039.25	cultivos
516985	562045	1618	1919	2058	2536.4375	3439.5625	3820	4032	4184.0625	4276.875	2943.5	cultivos
513745	559315	1658	1844	2130	2472.875	2728.9375	2966.5	3111	3432.25	5157.75	4189.25	cultivos
514375	557915	1626	1786	2100	2344.375	2481.5625	2658.4375	2736	2984.9375	4895.8125	4327.625	cultivos
513915	558655	1691	1892	2216	2498	2648.1875	2806.125	2904	3136.8125	4876.375	4315.5625	cultivos
514325	557905	1623	1786	2088	2332.3125	2474.5	2637.0625	2782	2980.4375	4886.125	4316.25	cultivos
512775	558295	1752	1998	2300	2606.1875	2886.4375	3096.1875	3143	3414.3125	4559.125	3819.5	cultivos
517565	561715	1672	1992	2174	2758.1875	3317.625	3554.25	3656	3960.375	4673.375	3303.75	cultivos
513865	559065	1897	2078	2210	2652.5	3206.625	3505.5	3610	3890.875	4310.125	3240	cultivos
514455	559045	1643	1840	1876	2449.5625	3319.375	3615.1875	3791	4017	4114.0625	3079.875	cultivos
517095	561585	1678	1974	2136	2764.125	3481.25	3775.3125	3834	4173.5625	4823.1875	3369.1875	cultivos
513085	559275	1534	1704	1903	2346.625	2794.875	2946.9375	2759	3297.1875	4526.1875	3775.6875	cultivos
514125	558495	1650	1858	2168	2395.875	2548.125	2738.4375	2791	3023.375	4815.25	4274.0625	cultivos
513275	557725	1789	2042	2460	2726	2883.5625	3094.4375	3204	3439.8125	4940.625	4224.0625	cultivos
514315	559725	1610	1817	2032	2371.9375	2823.375	3098.9375	3316	3510.6875	4607.625	3798.0625	cultivos
514305	559045	1694	1910	1917	2563.125	3547.4375	3832.375	3958	4220.875	3971	2812.25	cultivos
513935	558135	1524	1666	1903	2082.875	2216.625	2383	2552	2718.9375	4542.5	4221.25	cultivos
513615	559605	1548	1662	1946	2132.0625	2406.375	2575.0625	2650	2945.5625	4713.9375	4143.5625	cultivos
513285	558885	1710	1918	2274	2483.5	2649.4375	2837.5625	2943	3159.4375	4727.25	4100.3125	cultivos
513205	557835	1786	2011	2428	2699.8125	2852.4375	3038.875	3167	3371.375	4852.625	4217.1875	cultivos
513315	558395	1786	2022	2396	2661	2807.25	2986.25	3086	3325.9375	4865	4242.5625	cultivos
513315	558535	1802	1996	2360	2602.4375	2752.75	2954.5625	3042	3270.75	4788.625	4192.8125	cultivos
512525	558885	1810	2078	2478	2779.375	2991.5625	3201.25	3269	3515.0625	4762.875	3981.9375	cultivos
513655	558285	1762	1996	2406	2628.6875	2807.9375	2991.6875	3127	3306.3125	4789.5625	4180.5	cultivos
514155	558945	1629	1844	2060	2509.875	2919.125	3208.5625	3335	3666.4375	4754.375	3738.1875	cultivos
517185	561955	1594	1841	2044	2659.6875	3304.0625	3644	3646	4059.625	4608.6875	3239.25	cultivos
512555	559385	1656	1857	2144	2410.25	2608.3125	2821.375	2932	3161.125	4245.9375	3760.0625	cultivos
513185	558245	1792	1974	2390	2653.5625	2803.5	2989.875	3114	3345.125	4625.9375	4067.125	cultivos
513005	558335	1834	2054	2510	2625.6875	2865.125	3058.6875	3294	3383.875	4530.375	3852.5	cultivos
513655	558995	1636	1832	2082	2484.8125	2918.625	3175.4375	3366	3628.5	4838	3798.25	cultivos
512545	558945	1805	2056	2508	2784.625	2980.1875	3204.625	3263	3533.125	4804.625	4023.8125	cultivos
513935	558605	1700	1894	2242	2483.5625	2613.9375	2789.125	2902	3129.125	4840.9375	4283.8125	cultivos
513525	558665	1747	1970	2300	2615.625	2795.5625	2958.9375	3040	3295.5625	4713	4059.125	cultivos
513945	557675	1652	1866	2152	2476.875	2737.5625	2974.3125	3214	3448.3125	5043	4109.0625	cultivos
513835	558095	1480	1603	1830	2018.75	2144.5625	2297.375	2424	2641.5	4192.75	3892.3125	cultivos
513305	558135	1864	2122	2572	2878.875	3051.625	3236.1875	3354	3587.9375	4790	4048.3125	cultivos
514095	558075	1485	1597	1812	1992.9375	2118.5625	2267.5625	2390	2589.5	4625	4368.3125	cultivos
512645	558255	1806	2142	2576	3090.8125	3790.5625	4086.0625	4177	4562	5127.6875	3754.875	cultivos
514015	559205	1636	1788	2090	2430.375	2748.625	2990.0625	3203	3463.625	5045.1875	4020.375	cultivos
514225	558725	1711	1938	2246	2464.9375	2641.5625	2844.875	2998	3168.75	4955.5625	4290.125	cultivos
514505	559245	1648	1825	2190	2455.5	2682.0625	2911.4375	3158	3372.8125	4945.9375	4080.3125	cultivos
513755	559795	1593	1817	2050	2380.6875	2742.5	2949.5	2907	3349	4680.5	3903.6875	cultivos
513565	558705	1782	2019	2378	2666.125	2826.4375	3014.125	3097	3316.3125	4654.0625	4041.4375	cultivos
517495	561615	1656	1944	2084	2707.6875	3354.125	3613.375	3622	4021.375	4523.875	3112.5625	cultivos
512475	558835	1808	2052	2416	2785.875	3143.5	3412.6875	3334	3753.5	4782.9375	3984.8125	cultivos
513975	559135	1804	1968	2011	2625.1875	3527.5625	3806.625	3928	4194.5	4052.5	2924	cultivos
513475	558475	1839	2036	2416	2594.1875	2741.3125	2901.8125	3111	3221.875	4719.4375	4220.625	cultivos
513485	557785	1926	2172	2642	2891.3125	3076.625	3259.3125	3449	3603	4755.8125	4029.8125	cultivos
513135	558825	2226	2688	3408	3853.75	4138.75	4404.875	4552	4865.3125	6043.6875	4627.9375	cultivos
514065	558635	1684	1903	2192	2435.75	2597.6875	2777.9375	2882	3080.9375	4892.6875	4335.875	cultivos
514375	558015	1678	1855	2196	2443.5	2598.5	2774.625	2874	3121.875	4963.625	4329.0625	cultivos
512715	558895	1846	2246	2570	3121.375	4023.3125	4316.1875	4372	4661.9375	4935.25	3637.875	cultivos
513375	558075	1898	2182	2616	2971.875	3142.625	3351.625	3438	3712.4375	4927.0625	4150.6875	cultivos
513465	558565	1724	1955	2322	2612.375	2783.8125	2974.9375	3047	3341.5625	4751.9375	4116.8125	cultivos
512645	558625	1896	2296	2682	3118.125	3818.875	4090	4236	4501.25	5220.3125	3978.125	cultivos
512575	558955	1804	2064	2500	2786.1875	2994.1875	3190.625	3243	3475.375	4849.25	4059.8125	cultivos
513655	557645	1682	1903	2234	2635.0625	2926.3125	3195.6875	3362	3703.1875	5118.3125	4047.1875	cultivos
513635	559455	1506	1622	1864	2059.3125	2224.5625	2394.875	2533	2717	4695.4375	4345.875	cultivos
514025	559865	1702	2034	2272	2841.0625	3622.25	3907.625	4067	4322.875	4823.4375	3584.4375	cultivos
512655	558255	1846	2206	2604	3121.75	3770.1875	4056.0625	4104	4523.375	5170.5	3812.75	cultivos
513445	558215	1802	2028	2400	2760.5	2929.125	3109.6875	3128	3443.8125	4860.125	4176.625	cultivos
514125	558505	1677	1875	2168	2382.625	2542.875	2723.3125	2808	3011.125	4815.75	4272.1875	cultivos
512865	559265	1780	2126	2362	3045.375	3621.6875	3893.375	3978	4354.4375	4972	3617.125	cultivos
513565	558345	1690	1940	2246	2608.5625	2813.6875	2956.8125	2991	3329.9375	4831.1875	4180.5	cultivos
513375	559085	1607	1778	1920	2502.375	3289.375	3642.25	3775	4185.125	4449.0625	3209.375	cultivos
513985	558985	1638	1842	2060	2527.25	3019.6875	3286.6875	3345	3728.9375	4681.25	3603.5625	cultivos
517055	561655	1816	2162	2388	2927.625	3614.3125	3887.75	4115	4346.875	4818.75	3410.3125	cultivos
513905	557995	1603	1768	2092	2382.5625	2561.875	2786.8125	3000	3217.9375	4839.8125	4046.8125	cultivos
514345	559235	1610	1776	2132	2442.5625	2650.6875	2876.25	3049	3360.5	5181.6875	4255.625	cultivos
515935	557925	1722	1980	2242	2698.3125	3278.375	3551.9375	3618	3965.1875	4828.75	3522.8125	cultivos
513845	559005	1596	1792	1960	2495.5	3067.125	3354.375	3552	3858.5	4754.5625	3567.25	cultivos
513785	558295	1516	1632	1871	2035.875	2170.1875	2355.6875	2477	2694.25	4417.75	4129.1875	cultivos
514185	558785	1737	2104	2230	2792.5	3779.125	4122.625	4253	4470.0625	4695.9375	3420.0625	cultivos
513165	558075	1766	2008	2432	2737.4375	2918.3125	3090.0625	3208	3451.75	4881.8125	4149.5625	cultivos
513115	559215	1846	2204	2562	3113.3125	3737.75	4013.8125	4087	4429	5198.125	3813	cultivos
514385	558245	1476	1553	1752	1963.5625	2111.375	2271.4375	2295	2583.6875	4556.125	4185.0625	cultivos
512665	558665	1758	2148	2322	3033.75	4048.625	4307.25	4451	4663.5625	4895	3549.6875	cultivos
514075	559765	1680	1894	2208	2424.375	2750.375	2969.9375	2947	3362.25	4733.125	4004.1875	cultivos
517095	561665	1841	2174	2430	2937.1875	3562.5	3860.75	3917	4261.5	5017.25	3589.625	cultivos
512655	558305	1828	2222	2646	3179.4375	3811.75	4081.5625	4253	4556.0625	5262.5625	3885.375	cultivos
513445	558825	1817	2070	2450	2699.125	2876.5625	3067.5625	3170	3374.375	4847.125	4160.8125	cultivos
513325	557935	1818	2036	2438	2709.0625	2857.125	3037.9375	3182	3394.375	4792.5625	4126.1875	cultivos
514215	558685	1694	1880	2196	2452.75	2633.0625	2760.5625	2874	3095.3125	4940.1875	4366.25	cultivos
514435	558095	1614	1818	2124	2436.9375	2584.8125	2775	2786	3101.125	4899.1875	4307.25	cultivos
513315	558865	1760	1972	2344	2613.0625	2775.75	2973.25	3048	3304.4375	4873.875	4227.25	cultivos
513425	559155	1773	1921	1937	2580.1875	3579.375	3943.9375	4091	4326.9375	3879.625	2746.625	cultivos
513525	558415	1754	1974	2320	2569.6875	2727.125	2909.75	3022	3257	4794.5625	4201.9375	cultivos
514295	558345	1500	1584	1796	2021.0625	2224.375	2359.625	2357	2654.25	4510.625	4115.75	cultivos
513525	558385	1727	1954	2282	2566.6875	2740.0625	2904.8125	2972	3255.5	4812.4375	4224.0625	cultivos
517545	561625	1580	1879	1928	2678.25	3525.6875	3818.5	3845	4211.3125	4461.4375	3027	cultivos
513995	559215	1620	1792	2064	2422.6875	2733.625	2983.375	3164	3463.375	5052.5	3998.9375	cultivos
514375	559335	1503	1628	1858	2062.4375	2224.125	2384.625	2548	2769.625	4628	4197.6875	cultivos
517655	561875	1730	1955	2178	2706.4375	3165.6875	3412.5	3430	3788.6875	4642.3125	3400.4375	cultivos
513625	559215	1698	1912	2034	2481.375	3174.25	3440.5625	3467	3869.875	4247.625	3270.4375	cultivos
513915	559945	1746	1974	2356	2704.8125	2921.6875	3127.625	3113	3479.4375	4679.3125	3872.875	cultivos
513945	558325	1510	1626	1842	1997.8125	2149.25	2290.125	2428	2610.375	4676.4375	4449.6875	cultivos
513375	560015	1604	1772	2050	2305.0625	2528.0625	2712.5	2793	3051.125	4723.3125	4135.3125	cultivos
517795	561755	1419	1592	1736	2169.3125	2599.125	2833.25	2876	3234.875	3791	2616.0625	cultivos
513825	558705	1722	1921	2262	2509.3125	2668.9375	2838	2954	3152.6875	4817.125	4249.5625	cultivos
517495	561635	1633	1954	2022	2695.375	3389.875	3660.625	3766	4033.25	4489.125	3064.375	cultivos
513445	560005	1642	1850	2164	2446.875	2608.375	2853.6875	2913	3165.5625	4790	4101.9375	cultivos
513755	558025	1538	1640	1884	2094.4375	2231.4375	2424.125	2512	2735.625	4398.875	4059.75	cultivos
513795	558245	1530	1648	1912	2107.625	2253.375	2416.875	2571	2764.1875	4178.0625	3841.3125	cultivos
512535	558905	1782	2024	2464	2778.625	2979.4375	3163.4375	3271	3527.5	4768.75	3992.9375	cultivos
514105	558555	1696	1891	2220	2426.625	2620.625	2766.875	2930	3098.25	4866.4375	4289.3125	cultivos
517565	562035	1791	2078	2434	2890.125	3397.4375	3691.375	3746	4106.125	5266.625	3785.625	cultivos
514175	558805	1722	2064	2212	2808.75	3888.5625	4233.3125	4286	4620.25	4647.4375	3330.6875	cultivos
513085	557705	1847	2068	2498	2732	2925.125	3127.6875	3315	3510.75	4789.25	4060.5	cultivos
514605	558245	1662	1850	2186	2405.125	2559.0625	2720.8125	2894	3063.875	4883.75	4298.625	cultivos
513625	558335	1852	2124	2572	2815.25	2983.0625	3205.8125	3366	3545.1875	4917.375	4178.3125	cultivos
513475	558515	1758	1993	2334	2591.375	2777.6875	2988.5	3046	3294.0625	4671.0625	4107.25	cultivos
513245	558065	1951	2246	2720	2989.75	3166.625	3360.1875	3575	3699.4375	4956.8125	4134.9375	cultivos
513285	557785	1808	2064	2460	2735.3125	2885.1875	3084.8125	3163	3440.4375	4900.875	4210.8125	cultivos
514025	558215	1482	1636	1820	2017.375	2120.25	2294.4375	2400	2610.9375	4655.375	4439.75	cultivos
513995	558775	1738	1961	2264	2505.1875	2726.6875	2929.375	2981	3266.6875	4912.625	4205	cultivos
513305	559005	1720	2086	2134	2792.5	4067.4375	4435	4577	4791.3125	4675	3414.125	cultivos
514255	559725	1492	1704	1838	2368.75	2989.6875	3290.5625	3630	3684.9375	4456.375	3575.1875	cultivos
513455	557785	1872	2158	2588	2941.9375	3090.6875	3288	3397	3660	4794.25	4052.6875	cultivos
513515	558575	1786	1992	2342	2603.625	2782.75	2956.1875	3072	3272.875	4726.75	4119.625	cultivos
517875	561585	1570	1849	2046	2599.9375	3059.6875	3380.125	3495	3731.25	4183.3125	2981.375	cultivos
513965	558135	1477	1594	1816	2007.125	2132.25	2295.4375	2429	2615.4375	4530.125	4206.8125	cultivos
513255	557855	1720	1924	2278	2546.0625	2691.5	2865	2968	3210.5	4822.1875	4231.3125	cultivos
514165	559015	1866	2058	2124	2684.5625	3370.4375	3593.5	3809	4000.375	4181.75	3058.625	cultivos
513585	559155	1865	1999	2104	2661.25	3386.125	3664.75	3676	4033.6875	4169	3065.5	cultivos
513885	557755	1650	1809	2136	2437.9375	2697.6875	2908.875	3107	3377.125	5035.625	4069.25	cultivos
