Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
596005	494685	1783	1767	1601	1961.625	2609.5625	2772.6875	2889	2879.9375	2740.9375	1959.0625	Urbano
568065	505375	6786	6629	6845	6707.6875	7007.1875	7326.75	6848	7483	4199.8125	2894.5	Nubes
500175	514595	1998	1770	1519	1593.5	2174.9375	2494.75	2367	2587.4375	1565.125	1283	Nubes
553195	548685	1821	1738	1438	1820.4375	3323.9375	4002.75	4065	4366.5	2634.8125	1691.0625	Vegetacion
565545	526075	3280	3029	2789	3064.0625	4200.4375	4734.875	4734	5026.375	3564.5	2568.5625	Nubes
603185	501225	1648	1635	1422	1789.3125	2756.4375	3048.875	3034	3247.5625	2406.625	1718.625	Urbano
590425	509625	2137	2162	2337	2450.125	2899.875	3088.75	3248	3198.75	3212.9375	2825.6875	Urbano
602315	502445	1668	1632	1474	1692.8125	2535.9375	2765	2696	2971.3125	2180.1875	1621	Urbano
589075	500325	2341	2656	2962	3060.9375	3699.875	4135.5	4169	4225.875	4136.8125	3125.4375	Urbano
603365	503375	1590	1480	1309	1525.1875	2231.8125	2431.5625	2376	2558.8125	1847.6875	1402.3125	Urbano
599935	494895	3223	3061	3000	2887.875	2955.0625	3053.875	3349	3337	3641.625	3260.3125	Urbano
565165	525815	5116	5115	5334	5379.75	5928	6281.8125	5840	6487.375	5474.75	4670	Nubes
505225	540735	7128	7229	7812	7788.25	8384.375	8912.3125	8195	9239.3125	7826	6198.0625	Nubes
546765	502215	1845	1747	1497	1746	2654.1875	3013	2875	3232.0625	2128.4375	1479.5625	Vegetacion
594115	499925	1696	1697	1482	1867.0625	2861.3125	3107.25	3079	3276.625	2463.625	1791.375	Urbano
602005	506565	1812	1666	1576	1920.9375	2040.1875	2047.9375	1662	2128.5	2460.4375	2319.6875	Urbano
507515	526105	1950	1854	1568	1890.75	3233.4375	3835.125	3379	4246.25	2601.375	1667.1875	Nubes
603425	510715	1755	1722	1739	2661.3125	2650.8125	2794.25	1823	2717.6875	2865.75	2532.75	Urbano
531585	549425	1869	1835	1478	1902.9375	3481.5	4244.625	4073	4690.0625	2679.125	1626.625	Agua
598855	503595	2425	2337	2734	2780.1875	2844.75	3005.6875	2765	3003.5	3472.0625	3464.875	Urbano
594035	511315	2086	1960	1932	2322.6875	2586.125	2665.875	2544	2831.5625	2992.6875	2851.5625	Urbano
586825	502225	1850	1984	1765	2266.5	3539.4375	4022	3901	4347.25	3124.9375	2122.0625	Urbano
568895	506045	9613	9776	10682	10559.5625	10993.75	11450.375	10373	11681.9375	7994.6875	6021	Nubes
525605	533865	2154	2156	2129	2357.125	3029.0625	3434.125	3166	3749.3125	3441.9375	2460.4375	Agua
567755	503845	8263	8119	8430	8352.9375	8664.375	9001.3125	8655	9101.625	5423.75	3854.375	Nubes
507245	519715	2110	1945	1745	1796.875	2188.4375	2341.25	2279	2426.9375	1999.3125	1537.875	Nubes
532395	550365	1931	1960	1610	2089	4136.25	5107.3125	4849	5648.375	3107.5	1838.75	Agua
510055	515235	2192	2198	2216	2487.1875	3240	3726.125	3525	4134	4125.25	2718.125	Nubes
586405	501395	1706	1670	1516	1948.25	2599.4375	2767.875	2801	3006.4375	2811.125	2071.75	Urbano
